GroupName,Link,Monthly List
ENOi,https://open.spotify.com/artist/6c0lj01vVpHsCH7Z5CfJ9K,36218
Entertainment CUP girl group,,#VALUE!
Epik High,https://open.spotify.com/artist/5snNHNlYT2UrtZo5HCJkiw,346333
Episode,https://open.spotify.com/artist/3yO7osdYZcoKHt0kTZT486,1112
EVERGLOW,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,25223381
EvoL,https://open.spotify.com/artist/4k0n9qZSgE1HVExw9b2T9j,2230
EXID,https://open.spotify.com/artist/1xs6WFotNQSXweo0GXrS0O,999340
EXO,https://open.spotify.com/artist/0ErzCpIMyLcjPiwT4elrtZ,1194101
EXP EDITION,https://open.spotify.com/artist/1KW7HtHJz11rhGJ6WtgqXR,Loading...
F(x),https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4,18813026
F-ve Dolls,https://open.spotify.com/artist/1nw5g6u9BIPwyqlsm01cDP,4178
F.CUZ,https://open.spotify.com/artist/6UrHKmUKaKUnF7WiScbG6G,17032
FABLE,https://open.spotify.com/artist/0xpJGyjbEzkWSNfcf2tcMl,105732
FALLANC,https://open.spotify.com/artist/7uaIm6Pw7xplS8Dy06V6pT,255832
FANATICS,https://open.spotify.com/artist/7tTsvTUJ7lXBezazP5jU72,47437
Fantastie,https://open.spotify.com/artist/74lTWE4DqbFU3Vn8z4uH72,165461
Fanxy Red,https://open.spotify.com/artist/5InatjdbYc8y9748ckvN0i,3980
FAVORITE (group),https://open.spotify.com/artist/3ds0hlCcgdDJzoG9NgCxbF,3952
Category:Female groups,,#VALUE!
FIESTAR,https://open.spotify.com/artist/5r1tUTxVSgvBHnoDuDODPH,438722
Fin.K.L,https://open.spotify.com/artist/2aRLyjYp7WPr4EkjkI1gvS,6161
FIONA,https://open.spotify.com/artist/0x0u0jCVf5Jf4DNh45XPXL,41764
First Love (group),https://open.spotify.com/artist/3q5NZb5Rb3a7JL7BBWxB6x,120
FLASHE,https://open.spotify.com/artist/1hzfo8twXdOegF3xireCYs,1285752
Flor us,https://open.spotify.com/artist/21mKp7DqtSNHhCAU2ugvUw,1104856
Flossom,https://open.spotify.com/artist/64eN6CLbuG7qsLCh0jjAyg,3
Forestella,https://open.spotify.com/artist/4Phfy4o60wGqoPQFl5oCP8,979
Fromis 9,https://open.spotify.com/artist/24nUVBIlCGi4twz4nYxJum,267430
FTISLAND,https://open.spotify.com/artist/6KhH771vq2X2Aom91nNzpZ,298050
G-(i)Kon,https://open.spotify.com/artist/5wTAi7QkpP6kp8a54lmTOq,541875
G-reyish,https://open.spotify.com/artist/6CNfjsyz9f7M68UH4HryH3,1899
Gangkiz,https://open.spotify.com/artist/7LTShHcq1KdTrWeLvWoYed,109184
Gavy NJ,https://open.spotify.com/artist/1V4PXyYNg1jhtBuyEdtCwt,380
GBB,https://open.spotify.com/artist/7LuneXFPBVkN0BCthLQ7Bs,110
GeeGu,https://open.spotify.com/artist/5W7N6u4EjCEMKj7bDyzPEC,23724
Gen-Z,https://open.spotify.com/artist/5NgAdRVBzrOLKRQ8RRvBx4,492
GFRIEND,https://open.spotify.com/artist/0qlWcS66ohOIi0M8JZwPft,778320
GI,https://open.spotify.com/artist/57LYzLEk2LcFghVwuWbcuS,1046780
GIDONGDAE,,#VALUE!
GIRL CRUSH,https://open.spotify.com/artist/3CygdxquGHurS7f9LjNLkv,1728414
Girl's Day,https://open.spotify.com/artist/13kJgvU22LHMsJtGWLmx7W,429486
Girl2School,https://open.spotify.com/artist/4FffNBBwp4PayIiCBeJFPQ,67302
GIRLKIND,https://open.spotify.com/artist/2TqCaaZ0Yh9MtRVYnoZg8K,44042
GIRLS GIRLS,https://open.spotify.com/artist/0cc6vw3VN8YlIcvr1v7tBL,2478126
Girls Next Door,https://open.spotify.com/artist/4uBSazM6snEc9wCG3jMlYt,117334
Girls' Generation,https://open.spotify.com/artist/0Sadg1vgvaPqGTOjxu0N6c,1501412
Girls2000,https://open.spotify.com/artist/2ycnb8Er79LoH2AsR5ldjh,950912
GLAM,https://open.spotify.com/artist/3r17AfJCCUqC9Lf0OAc73G,3654327
GLOSS,https://open.spotify.com/artist/1VPmR4DJC1PlOtd0IADAO0,1981108
Golden Child,https://open.spotify.com/artist/3y2cIKLjiOlp1Np37WiUdH,9421
GOOD DAY (group),https://open.spotify.com/artist/0oEZDkrxkJURT0wuDPiLg0,Loading...
GOT7,https://open.spotify.com/artist/6nfDaffa50mKtEOwR8g4df,3345482
GP Basic,https://open.spotify.com/artist/6ZIq3nMhCA0fuOyhki8FVO,449
GreatGuys,https://open.spotify.com/artist/5rl5eIP9MogVsjbIVUKK1y,8510
GROW.B,https://open.spotify.com/artist/73rPcaYEhBd0UuVZBqqyQJ,26886
GsA,https://open.spotify.com/artist/5CiGnKThu5ctn9pBxv7DGa,514162
Gugudan,https://open.spotify.com/artist/0h7XZWgoxlY49uSUj7MVRY,330515
GWSN,https://open.spotify.com/artist/5fI4xffqGRGQvICSlJreMF,54433
H.O.T,https://open.spotify.com/artist/3b8QkneNDz4JHKKKlLgYZg,3639695
H.U.B,https://open.spotify.com/artist/1iIQG7GhIaGIAmq5elmS1h,15214
H2L,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,16090986
HALO,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,22441130
Hashtag,https://open.spotify.com/artist/6RTlv2UCWtRggV0rIo5TrN,86823
HBY,https://open.spotify.com/artist/1g1yxsNVPhMUl9GrMjEb2o,804425
Heart (group),https://open.spotify.com/artist/3kVUvbeRdcrqQ3oHk5hPdx,852041
HeartB,https://open.spotify.com/artist/1Hsdzj7Dlq2I7tHP7501T4,4957623
HELLOVENUS,https://open.spotify.com/artist/3TW9U1f93tpGBsEtCSf7JG,134221
Herycle,https://open.spotify.com/artist/10Zy7pPIFESaB4olenUcfD,12374
HEXE (group),,#VALUE!
HeyGirls,https://open.spotify.com/artist/2jXvTZk5WPVN6JdQWCTDTT,2043
HeyMiss,https://open.spotify.com/artist/0ckkj0a9CvIJr4h84B0OlN,22357
HI CUTIE,https://open.spotify.com/artist/0YrtvWJMgSdVrk3SfNjTbx,1139215
Hi.D,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,8787672
Hidden,https://open.spotify.com/artist/7lqaPghwYv2mE9baz5XQmL,75583
HIGH4,https://open.spotify.com/artist/757aE44tKEUQEqRuT6GnEB,2132431
Highlight (group),https://open.spotify.com/artist/4KehNz4qf1yNI7ODUnuWEI,61
HighSchool,https://open.spotify.com/artist/2DG7111q9yXgzpod3iBifm,7038
HIGHTEEN,https://open.spotify.com/artist/0pCNk4D3E2xtszsm6hMsWr,Loading...
HINAPIA,https://open.spotify.com/artist/6bWaRj4L4PyJ4uv2wN47Ny,27444
HINT,https://open.spotify.com/artist/1KYszkVzlhV3rAqmAcYIgd,1178280
HISTORY,https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq,15446849
HitGirls,,#VALUE!
HOLICS,https://open.spotify.com/artist/4yvcSjfu4PC0CYQyLy4wSq,1096443
Honey Girls,https://open.spotify.com/artist/6eO95BjZhrWHREMfwC4vVN,91946
Honey Popcorn,https://open.spotify.com/artist/1oiPRh43n4MqwL9g9U8IdH,8086
HONEYST,https://open.spotify.com/artist/1W7FNibLa0O0b572tB2w7t,255152
HOTSHOT,https://open.spotify.com/artist/7BU5Fy1Ud5Uohgl7yH1b8y,13377
HOTTIES,https://open.spotify.com/artist/1Bl6wpkWCQ4KVgnASpvzzA,1334898
Hwang Project,https://open.spotify.com/artist/60YNqzrSj7rJkuqHkpHPqG,33791
I-Ren,https://open.spotify.com/artist/5VJN4jB6PqqEg4kJiAj6Eu,13682
I-REX,https://open.spotify.com/artist/7pbDxGE6nQSZVfiFdq9lOL,1938020
I.B.I,https://open.spotify.com/artist/3AKnUD6LKcw0phLWRkHdZs,597
I.C.E,https://open.spotify.com/artist/6qhRjFCybkbk33sGVDm1cD,49
I.O.I,https://open.spotify.com/artist/6RKnXXyprPjhBdCvL802Ku,819148
I.ONE,https://open.spotify.com/artist/0OR5S6miBNzMyJG2JqUI9g,6821
Icia,https://open.spotify.com/artist/6Amqc7UjJa19q4jrfAHA77,5673
ICU,https://open.spotify.com/artist/7ADRQDokDkCaa1f8irso1m,1028
IKON,https://open.spotify.com/artist/5qRSs6mvI17zrkJpOHkCoM,2409884
ILUV,https://open.spotify.com/artist/6nwEYQKFXGAKvwnUqZUd52,3240
IM (group),https://open.spotify.com/artist/31uyAcnY0kjjKKIQZMKX4i,96493
IMFACT,https://open.spotify.com/artist/3ejYNz33SNAa1Qxo9g0qCG,113545
IN2IT,https://open.spotify.com/artist/43GYq8c6nVEgaEyg0qtzJd,102182
INFINITE,https://open.spotify.com/artist/1Tsag5J854qxeOo2apszug,431226
INX,https://open.spotify.com/artist/1eClJfHLoDI4rZe5HxzBFv,1339379
ISE,https://open.spotify.com/artist/2ZRQcIgzPCVaT9XKhXZIzh,471815
ITZY,https://open.spotify.com/artist/2KC9Qb60EaY0kW4eH68vr3,558671
IZ,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB,5258807
IZ*ONE,https://open.spotify.com/artist/5r1tUTxVSgvBHnoDuDODPH,438722
JACE,https://open.spotify.com/artist/1iNqsUDUraNWrj00bqssQG,236370
Jacoby Planet,https://open.spotify.com/artist/1l1VfoWjli9N3MJH2tAWCA,2368
